2011-08-09 19:50:20 Notice: Notice (8): Uninitialized string offset: 0 in [/home/tecnocen/public_html/cake/libs/view/helpers/html.php, line 608]
2011-08-09 19:50:26 Notice: Notice (8): Uninitialized string offset: 0 in [/home/tecnocen/public_html/cake/libs/view/helpers/html.php, line 608]
2011-08-09 20:00:04 Notice: Notice (8): Uninitialized string offset: 0 in [/home/tecnocen/public_html/cake/libs/view/helpers/html.php, line 608]
2011-08-10 00:07:02 Notice: Notice (8): Uninitialized string offset: 0 in [/home/tecnocen/public_html/cake/libs/view/helpers/html.php, line 608]
2011-08-10 16:20:29 Notice: Notice (8): Uninitialized string offset: 0 in [/home/tecnocen/public_html/cake/libs/view/helpers/html.php, line 608]
2011-08-10 20:44:57 Notice: Notice (8): Uninitialized string offset: 0 in [/home/tecnocen/public_html/cake/libs/view/helpers/html.php, line 608]
2011-08-10 22:59:50 Notice: Notice (8): Uninitialized string offset: 0 in [/home/tecnocen/public_html/cake/libs/view/helpers/html.php, line 608]
2011-08-10 23:03:57 Notice: Notice (8): Uninitialized string offset: 0 in [/home/tecnocen/public_html/cake/libs/view/helpers/html.php, line 608]
2011-08-10 23:04:08 Notice: Notice (8): Uninitialized string offset: 0 in [/home/tecnocen/public_html/cake/libs/view/helpers/html.php, line 608]
2011-08-10 23:04:11 Notice: Notice (8): Uninitialized string offset: 0 in [/home/tecnocen/public_html/cake/libs/view/helpers/html.php, line 608]
2011-08-11 06:33:21 Notice: Notice (8): Uninitialized string offset: 0 in [/home/tecnocen/public_html/cake/libs/view/helpers/html.php, line 608]
2011-08-11 09:09:04 Notice: Notice (8): Uninitialized string offset: 0 in [/home/tecnocen/public_html/cake/libs/view/helpers/html.php, line 608]
2011-08-11 18:30:00 Notice: Notice (8): Uninitialized string offset: 0 in [/home/tecnocen/public_html/cake/libs/view/helpers/html.php, line 608]
2011-08-12 09:17:01 Notice: Notice (8): Uninitialized string offset: 0 in [/home/tecnocen/public_html/cake/libs/view/helpers/html.php, line 608]
2011-08-12 10:11:10 Notice: Notice (8): Uninitialized string offset: 0 in [/home/tecnocen/public_html/cake/libs/view/helpers/html.php, line 608]
2011-08-12 11:37:01 Notice: Notice (8): Uninitialized string offset: 0 in [/home/tecnocen/public_html/cake/libs/view/helpers/html.php, line 608]
2011-08-12 18:44:23 Notice: Notice (8): Uninitialized string offset: 0 in [/home/tecnocen/public_html/cake/libs/view/helpers/html.php, line 608]
2011-08-12 20:08:12 Notice: Notice (8): Uninitialized string offset: 0 in [/home/tecnocen/public_html/cake/libs/view/helpers/html.php, line 608]
2011-08-15 09:37:43 Notice: Notice (8): Uninitialized string offset: 0 in [/home/tecnocen/public_html/cake/libs/view/helpers/html.php, line 608]
2011-08-16 14:33:21 Notice: Notice (8): Uninitialized string offset: 0 in [/home/tecnocen/public_html/cake/libs/view/helpers/html.php, line 608]
2011-08-16 14:35:06 Notice: Notice (8): Uninitialized string offset: 0 in [/home/tecnocen/public_html/cake/libs/view/helpers/html.php, line 608]
2011-08-16 15:15:56 Notice: Notice (8): Uninitialized string offset: 0 in [/home/tecnocen/public_html/cake/libs/view/helpers/html.php, line 608]
2011-08-16 15:18:19 Notice: Notice (8): Undefined variable: menuCategories in [/home/tecnocen/public_html/app/views/layouts/default.ctp, line 53]
2011-08-16 15:18:19 Notice: Notice (8): Undefined variable: otherCategories in [/home/tecnocen/public_html/app/views/layouts/default.ctp, line 53]
2011-08-16 15:18:19 Notice: Notice (8): Undefined variable: menuServices in [/home/tecnocen/public_html/app/views/elements/second_navigation.ctp, line 43]
2011-08-16 15:21:52 Notice: Notice (8): Uninitialized string offset: 0 in [/home/tecnocen/public_html/cake/libs/view/helpers/html.php, line 608]
2011-08-16 15:21:54 Notice: Notice (8): Undefined variable: menuCategories in [/home/tecnocen/public_html/app/views/layouts/default.ctp, line 53]
2011-08-16 15:21:54 Notice: Notice (8): Undefined variable: otherCategories in [/home/tecnocen/public_html/app/views/layouts/default.ctp, line 53]
2011-08-16 15:21:54 Notice: Notice (8): Undefined variable: menuServices in [/home/tecnocen/public_html/app/views/elements/second_navigation.ctp, line 43]
2011-08-16 15:21:55 Notice: Notice (8): Undefined variable: menuCategories in [/home/tecnocen/public_html/app/views/layouts/default.ctp, line 53]
2011-08-16 15:21:55 Notice: Notice (8): Undefined variable: otherCategories in [/home/tecnocen/public_html/app/views/layouts/default.ctp, line 53]
2011-08-16 15:21:55 Notice: Notice (8): Undefined variable: menuServices in [/home/tecnocen/public_html/app/views/elements/second_navigation.ctp, line 43]
2011-08-16 15:21:55 Notice: Notice (8): Undefined variable: menuCategories in [/home/tecnocen/public_html/app/views/layouts/default.ctp, line 53]
2011-08-16 15:21:55 Notice: Notice (8): Undefined variable: otherCategories in [/home/tecnocen/public_html/app/views/layouts/default.ctp, line 53]
2011-08-16 15:21:55 Notice: Notice (8): Undefined variable: menuServices in [/home/tecnocen/public_html/app/views/elements/second_navigation.ctp, line 43]
2011-08-16 15:21:56 Notice: Notice (8): Undefined variable: menuCategories in [/home/tecnocen/public_html/app/views/layouts/default.ctp, line 53]
2011-08-16 15:21:56 Notice: Notice (8): Undefined variable: otherCategories in [/home/tecnocen/public_html/app/views/layouts/default.ctp, line 53]
2011-08-16 15:21:56 Notice: Notice (8): Undefined variable: menuServices in [/home/tecnocen/public_html/app/views/elements/second_navigation.ctp, line 43]
2011-08-16 15:21:57 Notice: Notice (8): Undefined variable: menuCategories in [/home/tecnocen/public_html/app/views/layouts/default.ctp, line 53]
2011-08-16 15:21:57 Notice: Notice (8): Undefined variable: otherCategories in [/home/tecnocen/public_html/app/views/layouts/default.ctp, line 53]
2011-08-16 15:21:57 Notice: Notice (8): Undefined variable: menuServices in [/home/tecnocen/public_html/app/views/elements/second_navigation.ctp, line 43]
2011-08-16 15:21:57 Notice: Notice (8): Undefined variable: menuCategories in [/home/tecnocen/public_html/app/views/layouts/default.ctp, line 53]
2011-08-16 15:21:57 Notice: Notice (8): Undefined variable: otherCategories in [/home/tecnocen/public_html/app/views/layouts/default.ctp, line 53]
2011-08-16 15:21:57 Notice: Notice (8): Undefined variable: menuServices in [/home/tecnocen/public_html/app/views/elements/second_navigation.ctp, line 43]
2011-08-16 15:21:58 Notice: Notice (8): Undefined variable: menuCategories in [/home/tecnocen/public_html/app/views/layouts/default.ctp, line 53]
